external_id,name,cohort_external_id,full_address,timezone,platform,new_url,city
9024,Kona Grill - Dallas,4,"8687 N Central Expy, Dallas, TX 75225, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/28315/reserve,new_york_city
9025,Ounce & Ichi Ni San,4,"211 S Akard St, Dallas, TX 75202, USA",America/Chicago,resy,https://resy.com/cities/dfw/ounce-and-ichi-ni-san,dallas
9027,Felix Culpa,5,"3001 N Henderson Ave, Dallas, TX 75206, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1026685/reserve,dallas
9028,Sky Blossom,4,"1514 Elm St #611, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1154926/reserve,dallas
9029,LA Resistencia by Revolver Taco Lounge,4,"2701 Main St, Dallas, TX 75226, USA",America/Chicago,resy,https://resy.com/cities/dfw/revolver-taco-lounge,new_york_city
9030,St Martin’s Wine Bistro,4,"3020 Greenville Ave, Dallas, TX 75206, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/151798/reserve,dallas
9031,Ferris Wheelers Backyard and BBQ,4,"1950 Market Center Blvd, Dallas, TX 75207, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1013263/reserve,dallas
9032,Lucia,4,"287 N Bishop Ave, Dallas, TX 75208, USA",America/Chicago,resy,https://resy.com/cities/dfw/lucia,new_york_city
9033,Fogo de Chao - Dallas - Uptown,4,"2619 McKinney Ave, Dallas, TX 75204, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/333313/reserve,dallas
9034,Meridian,4,"5650 Village Glen Dr, Dallas, TX 75206, USA",America/Chicago,resy,https://resy.com/cities/dfw/meridian,dallas
9036,Moxie’s Grill & Bar - Dallas,4,"100 Crescent Ct, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/334570/reserve,dallas
9037,Nick & Sam’s Steakhouse,4,"3008 Maple Ave, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/26161/reserve,dallas
9038,Good Graces,4,"3303 Fairmount St, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1147231/reserve,dallas
9039,Hawthorn,4,"208 S Akard St, Dallas, TX 75202, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1063789/reserve,new_york_city
9040,Haywire Uptown Dallas,4,"1920 McKinney Ave, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1157896/reserve,dallas
9041,Hero,4,"3090 Olive St, Dallas, TX 75219, USA",America/Chicago,resy,https://resy.com/cities/dfw/hero,dallas
9042,HG Sply Co - Dallas,4,"2008 Greenville Ave, Dallas, TX 75206, USA",America/Chicago,resy,https://resy.com/cities/dfw/hg-sply-co-dallas,dallas
9043,Namo,4,"Suite A-221, 3699 McKinney Ave, Dallas, TX 75204, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1120699/reserve,new_york_city
